----------------Prefab----------------------
undles\UI\Blood\UIBattleFly_UpLv.prefab   升级
undles\UI\Dlg\DlgPetMiningTeam.prefab   调整\n阵型
undles\UI\Dlg\DlgPetSet.prefab   闯关
undles\UI\Dlg\DlgPetSet.prefab   挖矿
undles\UI\Dlg\DlgPetXiLianLockSkill.prefab   提示:宠物技能锁定后，只能在下次镶嵌技能的时候生效，镶嵌完成后次技能自动解除锁定状态
undles\UI\Dlg\DlgPetXiLianLockSkill.prefab   宠物技能锁定
undles\UI\Dlg\DlgPetXiLianLockSkill.prefab   确定锁定
undles\UI\Dlg\DlgPhoneCode.prefab   提示:绑定后可以用手机号直接登陆游戏
undles\UI\Dlg\DlgPhoneCode.prefab   已向手机号13333333发送短信验证
undles\UI\Dlg\DlgPopupTip.prefab   系统提示
undles\UI\Dlg\DlgPopupTip.prefab   是否花费800钻石重置您的技能？
undles\UI\Dlg\DlgProLucklyExplain.prefab   1.幸运值可以提高触发每次攻击的最高值。\n2.幸运值越高，触发的概率越高。\n3.当幸运值达到10点后，会100%触发最高上限。\n4.提升幸运属性会大幅度提高自身的战力。
undles\UI\Dlg\DlgProLucklyExplain.prefab   幸运效果
undles\UI\Dlg\DlgProLucklyExplain.prefab   属性来源
undles\UI\Dlg\DlgProLucklyExplain.prefab   1.幸运属性主要来源于装备的洗炼属性。\n2.在一些特殊宝石上也会有幸运属性出现。
undles\UI\Dlg\DlgProtect.prefab   装备锁
undles\UI\Dlg\DlgProtect.prefab   宠物锁
undles\UI\Dlg\DlgRank.prefab   排行榜
undles\UI\Dlg\DlgRealName.prefab   请输入姓名
undles\UI\Dlg\DlgRealName.prefab   请输入身份证号码
undles\UI\Dlg\DlgRealName.prefab   已认证
undles\UI\Dlg\DlgRealName.prefab   查看规则
undles\UI\Dlg\DlgRealName.prefab   身份证
undles\UI\Dlg\DlgRealName.prefab   实名认证奖励
undles\UI\Dlg\DlgRealName.prefab   根据相关规定,需要进行实名认证,请输入本人真实有效的信息,一旦审核完成将无法更改。
undles\UI\Dlg\DlgRealName.prefab   如果您是未成年人，请在家长监督下填写自己真实的身份证信息，根据国家新闻出版署《关于防止未成年人沉迷网络游戏的通知》和《关于进一步严格管理切实防止未成年人沉迷网络游戏的通知》，对您有以下限制：\n游戏登陆\n每周五、周六、周日和法定节假日每日20时至21时提供1小时网络游戏服务。其他时段将不以任何形式为未成年人提供网络游戏服务。\n游戏充值\n1.未满12周岁的用户无法登录游戏和充值。\n2. 12周岁以上未满16周岁的用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币。\n3.16周岁以上未满18周岁的用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。\n注意：法定节假日是指“元旦1天，春节3天，清明节1天，劳动节1天，端午节1天，中秋节1天，国庆节3天”共11天假期。\n
undles\UI\Dlg\DlgRealName.prefab   我已阅读
undles\UI\Dlg\DlgRecharge.prefab   充值...
undles\UI\Dlg\DlgRecharge.prefab   提示: 请各位亲爱的玩家务必适度娱乐,理性消费！
undles\UI\Dlg\DlgRecharge.prefab   微信支付
undles\UI\Dlg\DlgRecharge.prefab   支付宝
undles\UI\Dlg\DlgRechargeReward.prefab   累冲50元
undles\UI\Dlg\DlgRechargeReward.prefab   累冲98元
undles\UI\Dlg\DlgRechargeReward.prefab   累冲达到50元可领取以下奖励
undles\UI\Dlg\DlgRechargeReward.prefab   累充奖励
undles\UI\Dlg\DlgRelink.prefab   重新连接中...
undles\UI\Dlg\DlgRole.prefab   生肖
undles\UI\Dlg\DlgRole.prefab   镶嵌
undles\UI\Dlg\DlgRole.prefab   徽记
undles\UI\Dlg\DlgRoleBagSplit.prefab   拆分道具
undles\UI\Dlg\DlgRoleBagSplit.prefab   请输入要拆分道具的数量
undles\UI\Dlg\DlgRolePetBag.prefab   宠物仓库
undles\UI\Dlg\DlgRolePetBag.prefab   宠物数量： 1/2
undles\UI\Dlg\DlgRolePetBag.prefab   宠物属性
undles\UI\Dlg\DlgRolePetBag.prefab   取出宠物
undles\UI\Dlg\DlgRoleXiLian.prefab   洗练
undles\UI\Dlg\DlgRoleXiLian.prefab   传承
undles\UI\Dlg\DlgRoleXiLianExplain.prefab   1.洗炼装备可以让装备的洗炼属性产生变化。\n2.洗炼可以洗出额外的属性，如果运气好也可以在装备中发现隐藏技能。\n3.洗炼是幸运属性的主要来源。
undles\UI\Dlg\DlgRoleXiLianExplain.prefab   洗练说明
undles\UI\Dlg\DlgRoleXiLianExplain.prefab   钻石洗炼
undles\UI\Dlg\DlgRoleXiLianExplain.prefab   1.使用钻石洗炼可以获得更高的洗炼熟练度。\n2.使用钻石洗炼不受洗炼大师的等级影响，可以激活全部的洗炼技能。\n3.使用钻石洗炼出现极品属性的概率会相对较高。
undles\UI\Dlg\DlgRoleXiLianNumReward.prefab   今日钻石洗练次数:10
undles\UI\Dlg\DlgRoleXiLianNumReward.prefab   提示：今日洗练次数大于300次后，洗练消耗自动打9折
undles\UI\Dlg\DlgRoleXiLianTen.prefab   洗炼属性
undles\UI\Dlg\DlgRoleXiLianTen.prefab   确 定
undles\UI\Dlg\DlgRoleZodiac.prefab   提示:激活下层生肖属性需要先激活上层生肖。
undles\UI\Dlg\DlgRoleZodiac.prefab   初级
undles\UI\Dlg\DlgRoleZodiac.prefab   神级
undles\UI\Dlg\DlgRoleZodiac.prefab   (未激活)
undles\UI\Dlg\DlgRunRace.prefab   1. 活动开启后进入场景将会随机变成1种动物.
undles\UI\Dlg\DlgRunRace.prefab   2.每种动物都有属于自己的特殊能力。
undles\UI\Dlg\DlgRunRace.prefab   3.活动开启后,控制自身的变身动物奔跑至目标点\n获得最终胜利。
undles\UI\Dlg\DlgRunRace.prefab   4.活动过程中每隔一段时间会自动进行变身。
undles\UI\Dlg\DlgRunRace.prefab   5.奔跑的过程中触碰星星道具也会获得额外的特殊\n能力。
undles\UI\Dlg\DlgRunRace.prefab   进入活动
undles\UI\Dlg\DlgRunRaceMain.prefab   变身剩余倒计时 0:0
undles\UI\Dlg\DlgRunRaceMain.prefab   提示:长按技能图标可显示技能描述。
undles\UI\Dlg\DlgSeason.prefab   晶核
undles\UI\Dlg\DlgSeason.prefab   爬塔
undles\UI\Dlg\DlgSeasonDonateReward.prefab   提示：捐献次数会随赛季重置而重置！
undles\UI\Dlg\DlgSeasonJingHeZhuru.prefab   赛季晶核:生命
undles\UI\Dlg\DlgSeasonJingHeZhuru.prefab   当前品质：90
undles\UI\Dlg\DlgSeasonJingHeZhuru.prefab   本次预计增加晶核品质
undles\UI\Dlg\DlgSeasonJingHeZhuru.prefab   晶核注入
undles\UI\Dlg\DlgSeasonLordDetail.prefab   即将出现在魔法森林中...
undles\UI\Dlg\DlgSeasonLordDetail.prefab   剩余时间:19:19
undles\UI\Dlg\DlgSeasonLordDetail.prefab   赛季果实
undles\UI\Dlg\DlgSeasonLordDetail.prefab   可以降低赛季领主3个小时的刷新时间
undles\UI\Dlg\DlgSeasonMain.prefab   倒计时 0:0
undles\UI\Dlg\DlgSeasonTowerReward.prefab   提示: 每周一0:00点通过邮箱进行发放哦，大家记得去领取哦！
undles\UI\Dlg\DlgSelectReward.prefab   等级领取
undles\UI\Dlg\DlgSelectReward.prefab   请选择一个你想领取的道具！
undles\UI\Dlg\DlgSelectServer.prefab   最近登录
undles\UI\Dlg\DlgSelectServer.prefab   服务器列表
undles\UI\Dlg\DlgSetting.prefab   称号
undles\UI\Dlg\DlgSetting.prefab   挂机
undles\UI\Dlg\DlgSettingFrame.prefab   手机性能一般
undles\UI\Dlg\DlgSettingFrame.prefab   手机性能较好
undles\UI\Dlg\DlgSettingFrame.prefab   动画提示
undles\UI\Dlg\DlgSettingFrame.prefab   开启高帧可以使画面更加的流畅,需要当前手机的配置较好。
undles\UI\Dlg\DlgSettingFrame.prefab   使用普通
undles\UI\Dlg\DlgSettingFrame.prefab   开启高帧
undles\UI\Dlg\DlgSettingFrame.prefab   如果游戏中你感觉卡顿,可以在设置处恢复普通模式\n
undles\UI\Dlg\DlgSettingSkill.prefab   编辑技能
undles\UI\Dlg\DlgSettingSkill.prefab   提示：技能按顺序进行释放，如果当前技能冷却将自动跳过当前技能向后进行释放
undles\UI\Dlg\DlgSettingSkill.prefab   快捷技能栏
undles\UI\Dlg\DlgSettingSkill.prefab   挂机释放顺序
undles\UI\Dlg\DlgSettingSkill.prefab   清空设置
undles\UI\Dlg\DlgShenQiMake.prefab   制造列表
undles\UI\Dlg\DlgShenQiMake.prefab   制造
undles\UI\Dlg\DlgShenQiMake.prefab   神器合成
undles\UI\Dlg\DlgShouJi.prefab   收集
undles\UI\Dlg\DlgShouJiSelect.prefab   提示：装备一旦上交将会立即销毁,请不要把极品装备上交喔！
undles\UI\Dlg\DlgShouJiSelect.prefab   装备上交
undles\UI\Dlg\DlgShouJiSelect.prefab   上交装备
undles\UI\Dlg\DlgSingleHappyMain.prefab   冷却时间
undles\UI\Dlg\DlgSingleHappyMain.prefab   次数：1/10
undles\UI\Dlg\DlgSingleHappyMain.prefab   刷新奖励
undles\UI\Dlg\DlgSingleHappyMain.prefab   购买次数
undles\UI\Dlg\DlgSkill.prefab   放置
undles\UI\Dlg\DlgSkill.prefab   天赋
undles\UI\Dlg\DlgSkill.prefab   能源
undles\UI\Dlg\DlgSkillTips.prefab   套装技能穿戴3个时激活此技能
undles\UI\Dlg\DlgSkillTips.prefab   啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊11111111111111111111111111111
undles\UI\Dlg\DlgSkillTips.prefab   类型：主动技能
undles\UI\Dlg\DlgSolo.prefab   积分：99
undles\UI\Dlg\DlgSolo.prefab   今日战绩
undles\UI\Dlg\DlgSolo.prefab   1. 每周一三五日22:00-22:20开启
undles\UI\Dlg\DlgSolo.prefab   2.活动开启后可以进行1对1的挑战
undles\UI\Dlg\DlgSolo.prefab   0胜4败
undles\UI\Dlg\DlgSolo.prefab   匹配时间：0分0秒
undles\UI\Dlg\DlgSolo.prefab   竞技规则
undles\UI\Dlg\DlgSolo.prefab   竞技排名
undles\UI\Dlg\DlgSolo.prefab   1胜11败
undles\UI\Dlg\DlgSolo.prefab   3.活动结束后,按照排名进行发放奖励。
undles\UI\Dlg\DlgSolo.prefab   4.每天的竞技场第一将激活稀有坐骑:竞技之猩。
undles\UI\Dlg\DlgSolo.prefab   5.每天的竞技场第一将激活稀有坐骑:竞技之猩。
undles\UI\Dlg\DlgSoloReward.prefab   挑战结束
undles\UI\Dlg\DlgSoloReward.prefab   你当前成功完成挑战10波,获得奖励如下:
undles\UI\Dlg\DlgSoloReward.prefab   10秒后自动返回主城
undles\UI\Dlg\DlgTask.prefab   挑战
undles\UI\Dlg\DlgTaskGet.prefab   前往神秘地图
undles\UI\Dlg\DlgTaskGet.prefab   神兽碎片兑换
undles\UI\Dlg\DlgTaskGet.prefab   经验兑换
undles\UI\Dlg\DlgTaskGet.prefab   领取节日奖励
undles\UI\Dlg\DlgTaskGet.prefab   兑换魔能
undles\UI\Dlg\DlgTaskGet.prefab   魔能币
undles\UI\Dlg\DlgTaskGet.prefab   给予道具
undles\UI\Dlg\DlgTaskGet.prefab   魔导师.加尔
undles\UI\Dlg\DlgTaskGet.prefab   嘿小勇士你是我引导的第8434个来这里探险的人。
undles\UI\Dlg\DlgTaskGet.prefab   你好 任务描述1111
undles\UI\Dlg\DlgTaskGet.prefab   任务名称
undles\UI\Dlg\DlgTaskGet.prefab   接取任务
undles\UI\Dlg\DlgTaskGet.prefab   提交任务
undles\UI\Dlg\DlgTeamApplyList.prefab   提示：组队尽量选择玩家,人机角色只能协助你进行战斗。
undles\UI\Dlg\DlgTeamDungeon.prefab   我的副本
undles\UI\Dlg\DlgTeamDungeonCreate.prefab   副本描述
undles\UI\Dlg\DlgTeamDungeonCreate.prefab   副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描
undles\UI\Dlg\DlgTeamDungeonCreate.prefab   可能获得奖励:
undles\UI\Dlg\DlgTeamDungeonCreate.prefab   消耗帮助次数\n进入比自己等级低的副本
undles\UI\Dlg\DlgTeamDungeonCreate.prefab   开启深渊模式
undles\UI\Dlg\DlgTeamDungeonPrepare.prefab   同意
undles\UI\Dlg\DlgTeamMain.prefab   需求
undles\UI\Dlg\DlgTeamMain.prefab   放弃
undles\UI\Dlg\DlgTeamMain.prefab   0秒
undles\UI\Dlg\DlgTowerFightReward.prefab   恭喜你获得胜利！
undles\UI\Dlg\DlgTowerOfSeal.prefab   \n塔内怪物的爆率较高，每10层会刷新一个宝箱！
undles\UI\Dlg\DlgTowerOfSeal.prefab   可能掉落
undles\UI\Dlg\DlgTowerOfSeal.prefab   这里是灵禁秘塔，总共有100层，每层都隐藏着鲜为人知的事物，而你要做的就是尽可能的击败这些邪恶的怪兽，传说在它们的身上能找到不错的宝物哦！
undles\UI\Dlg\DlgTowerOfSeal.prefab   灵禁秘塔
undles\UI\Dlg\DlgTowerOfSeal.prefab   地图类型：单人
undles\UI\Dlg\DlgTowerOfSeal.prefab   地图消耗：秘塔凭证或钻石
undles\UI\Dlg\DlgTowerOfSealCost.prefab   封印之塔
undles\UI\Dlg\DlgTowerOfSealCost.prefab   是否继续下面的挑战？
undles\UI\Dlg\DlgTowerOfSealCost.prefab   本次的挑战需要消耗灵禁秘塔凭证或花费\n520钻直接开启！
undles\UI\Dlg\DlgTowerOfSealCost.prefab   钻石挑战
undles\UI\Dlg\DlgTowerOfSealCost.prefab   凭证挑战
undles\UI\Dlg\DlgTowerOfSealJump.prefab   每10层会有一个宝箱,您当前掷点数会超过宝箱层
undles\UI\Dlg\DlgTowerOfSealJump.prefab   是否花费350钻石去到宝箱层
undles\UI\Dlg\DlgTowerOfSealJump.prefab   不去
undles\UI\Dlg\DlgTowerOfSealJump.prefab   去
undles\UI\Dlg\DlgTowerOfSealMain.prefab   点击下面开始挑战
undles\UI\Dlg\DlgTowerOfSealMain.prefab   当前层数:
undles\UI\Dlg\DlgTowerOfSealMain.prefab   消耗: 520
undles\UI\Dlg\DlgTowerOfSealMain.prefab   或
undles\UI\Dlg\DlgTowerOfSealMain.prefab   挑战倒计时 10:00
undles\UI\Dlg\DlgTowerOpen.prefab   挑战之地:1/30
undles\UI\Dlg\DlgTowerOpen.prefab   新地区已开放
undles\UI\Dlg\DlgTreasureOpen.prefab   寻宝
undles\UI\Dlg\DlgTreasureOpen.prefab   停止移动
undles\UI\Dlg\DlgTreasureOpen.prefab   提示:点击停止移动即可随机列表中的一个奖励
undles\UI\Dlg\DlgTrial.prefab   试炼
undles\UI\Dlg\DlgTrialMain.prefab   详细
undles\UI\Dlg\DlgTrialMain.prefab   提示：点击重新挑战会
undles\UI\Dlg\DlgTrialMain.prefab   伤害:10000
undles\UI\Dlg\DlgTrialMain.prefab   挑战失败,请点击按钮重新开始你的挑战！
undles\UI\Dlg\DlgTrialMain.prefab   剩余时间 10:00
undles\UI\Dlg\DlgTurtle.prefab   活动规则
undles\UI\Dlg\DlgTurtle.prefab   1. 自己支持的小龟前往终点后将获得奖励。
undles\UI\Dlg\DlgTurtle.prefab   2.小龟在前进的路途上会不断给周围玩家\n随机投放奖励哦。
undles\UI\Dlg\DlgTurtle.prefab   3.预测成功将通过发送50万金币的奖励哦。
undles\UI\Dlg\DlgTurtle.prefab   竞猜获胜奖励
undles\UI\Dlg\DlgTurtle.prefab   提示:每次支持小龟消耗5万金币,同账号下只有1个角色可以参加此活动
undles\UI\Dlg\DlgTurtle.prefab   小龟1号
undles\UI\Dlg\DlgTurtle.prefab   获胜次数:0
undles\UI\Dlg\DlgTurtle.prefab   本次支持数:0
undles\UI\Dlg\DlgTurtle.prefab   支持1号
undles\UI\Dlg\DlgTurtle.prefab   小龟2号
undles\UI\Dlg\DlgTurtle.prefab   支持2号
undles\UI\Dlg\DlgTurtle.prefab   小龟3号
undles\UI\Dlg\DlgTurtle.prefab   支持3号
undles\UI\Dlg\DlgTurtle.prefab   活动开启倒计时 0分0秒
undles\UI\Dlg\DlgTuZhiMake.prefab   图纸制造
undles\UI\Dlg\DlgUnion.prefab   工会
undles\UI\Dlg\DlgUnion.prefab   祝福
undles\UI\Dlg\DlgUnion.prefab   订单
undles\UI\Dlg\DlgUnionDonation.prefab   家族捐献
undles\UI\Dlg\DlgUnionDonation.prefab   捐献规则
undles\UI\Dlg\DlgUnionDonation.prefab   1.   每次捐献获得随机额度的家族贡献,家族经验和家族资金
undles\UI\Dlg\DlgUnionDonation.prefab   2.   每天捐献次数零点重置
undles\UI\Dlg\DlgUnionDonation.prefab   消耗： 100000金币
undles\UI\Dlg\DlgUnionDonation.prefab   捐献次数： 10次
undles\UI\Dlg\DlgUnionDonation.prefab   消耗： 250钻石
undles\UI\Dlg\DlgUnionDonation.prefab   捐献记录
undles\UI\Dlg\DlgUnionJingXuan.prefab   竞选名单
undles\UI\Dlg\DlgUnionJingXuan.prefab   取消申请
undles\UI\Dlg\DlgUnionJingXuan.prefab   确认申请
undles\UI\Dlg\DlgUnionJingXuan.prefab   已申请
undles\UI\Dlg\DlgUnionJingXuan.prefab   竞选须知
undles\UI\Dlg\DlgUnionJingXuan.prefab   因为族长多日没上线会重新竞选。\n竞选规则：\n1.竞选会优先安排职位较高的玩家当选。\n2.相同职位的按照战力进行优先级选择。
undles\UI\Dlg\DlgUnionKeJi.prefab   研究
undles\UI\Dlg\DlgUnionRecords.prefab   工会记录
undles\UI\Dlg\DlgUnionXiuLian.prefab   修炼
undles\UI\Dlg\DlgUnionXiuLian.prefab   生命石
undles\UI\Dlg\DlgWarehouse.prefab   账号
undles\UI\Dlg\DlgWatchMenu.prefab   邀请组队
undles\UI\Dlg\DlgWatchMenu.prefab   加为好友
undles\UI\Dlg\DlgWatchMenu.prefab   踢出队伍
undles\UI\Dlg\DlgWatchMenu.prefab   申请入队
undles\UI\Dlg\DlgWatchMenu.prefab   邀请公会
undles\UI\Dlg\DlgWatchMenu.prefab   踢出公会
undles\UI\Dlg\DlgWatchMenu.prefab   加入黑名单
undles\UI\Dlg\DlgWatchMenu.prefab   移除黑名单
undles\UI\Dlg\DlgWatchMenu.prefab   转移会长
undles\UI\Dlg\DlgWatchMenu.prefab   任命副会长
undles\UI\Dlg\DlgWatchMenu.prefab   任命长老
undles\UI\Dlg\DlgWatchMenu.prefab   撤销
undles\UI\Dlg\DlgWatchMenu.prefab   服务器黑名单
undles\UI\Dlg\DlgWatchMenu.prefab   举报禁言
undles\UI\Dlg\DlgWatchPaiMai.prefab   快捷搜索
undles\UI\Dlg\DlgWearWeapon.prefab   它可以让你的技能产生变化!\n不同类型的武器对应不同的技能哦!\n不同类型的武器对应不同的技能哦!
undles\UI\Dlg\DlgWearWeapon.prefab   武器提示
undles\UI\Dlg\DlgWeiJingShop.prefab   兑换商店
undles\UI\Dlg\DlgWelfare.prefab   投资
undles\UI\Dlg\DlgWorldLv.prefab   世界等级
undles\UI\Dlg\DlgWorldLv.prefab   兑换经验
undles\UI\Dlg\DlgWorldLv.prefab   低于世界等级:
undles\UI\Dlg\DlgWorldLv.prefab   1.低于世界等级可以获得经验加成。
undles\UI\Dlg\DlgWorldLv.prefab   2.低于世界等级使用经验盒子获得经验加成。
undles\UI\Dlg\DlgWorldLv.prefab   达到等级或世界等级:
undles\UI\Dlg\DlgWorldLv.prefab   1.达到世界等级的将无法使用经验盒子。
undles\UI\Dlg\DlgWorldLv.prefab   2.达到世界等级可以把额外的经验转换成金币。
undles\UI\Dlg\DlgWorldLv.prefab   3.达到世界等级的玩家游戏内怪物的爆率会提升。
undles\UI\Dlg\DlgWorldLv.prefab   提示：每差一级提升2%（最高20%）
undles\UI\Dlg\DlgWorldLv.prefab   提示: 每天中午12点开启新的世界等级
undles\UI\Dlg\DlgWorldLv.prefab   当前的经验百分比:25%
undles\UI\Dlg\DlgWorldLv.prefab   可以获得经验加成20%
undles\UI\Dlg\DlgWorldLv.prefab   当前的等级:25
undles\UI\Dlg\DlgWorldLv.prefab   你当前的等级:25
undles\UI\Dlg\DlgWorldLv.prefab   作者真帅(29级)
undles\UI\Dlg\DlgWorldLv.prefab   世界等级说明
undles\UI\Dlg\DlgWorldLv.prefab   今日兑换次数:0
undles\UI\Dlg\DlgYinSi.prefab   拒绝
undles\UI\Dlg\DlgYinSi.prefab   温馨提示
undles\UI\Dlg\DlgYinSi.prefab   为提供第三方账号登陆、消息推送、和用户内容分享以及提高账号安全性，我们需要联网以及调用如下的权限,部分权限会收集个人信息。\n\n获取您的设备型号、IP地址、设备识别码：用于保障您的账户财产安全、安全稳定的服务。\n读写存储权限: 用于游戏存储等相关功能。\n\n如果您不统一调用以上必要权限,或不同意我们手机并使用以上信息,将导致无法正常运行和使用我们的产品。\n\n请您阅读并同意<color=green>《用户协议》</color> 和<color=green>《隐私协议》</color> 。
